Person_ID,Name,Age,Gender,Height_cm,Weight_kg,City,Activity_Level
1,Person_1,58,Male,151,92,Bengaluru,Low
2,Person_2,32,Male,156,88,Hyderabad,High
3,Person_3,23,Female,152,46,Mumbai,Low
4,Person_4,32,Male,185,57,Hyderabad,High
5,Person_5,52,Female,164,73,Pune,Moderate
6,Person_6,18,Male,177,66,Bengaluru,Low
7,Person_7,31,Female,156,50,Chennai,Low
8,Person_8,40,Female,188,61,Kolkata,Low
9,Person_9,47,Male,174,50,Pune,Moderate
10,Person_10,58,Female,186,57,Hyderabad,Low
11,Person_11,20,Male,168,50,Kolkata,Low
12,Person_12,24,Female,167,74,Hyderabad,Moderate
13,Person_13,28,Female,172,58,Hyderabad,Moderate
14,Person_14,59,Male,188,85,Delhi,High
15,Person_15,33,Male,179,69,Bengaluru,High
16,Person_16,53,Male,170,98,Kolkata,Low
17,Person_17,32,Male,170,70,Bengaluru,Low
18,Person_18,31,Female,163,86,Chennai,Moderate
19,Person_19,59,Female,159,61,Delhi,Low
20,Person_20,53,Female,187,72,Pune,Moderate
21,Person_21,41,Male,158,77,Chennai,Low
22,Person_22,21,Male,159,85,Delhi,High
23,Person_23,45,Male,174,69,Pune,Moderate
24,Person_24,51,Female,185,100,Mumbai,High
25,Person_25,25,Female,171,52,Bengaluru,Moderate
26,Person_26,28,Female,150,91,Hyderabad,Moderate
27,Person_27,50,Male,182,51,Kolkata,High
28,Person_28,37,Male,159,68,Kolkata,Low
29,Person_29,52,Male,188,65,Chennai,Low
30,Person_30,25,Female,169,60,Mumbai,Low
31,Person_31,54,Male,155,91,Chennai,Low
32,Person_32,52,Male,158,87,Chennai,High
33,Person_33,28,Female,183,100,Pune,Moderate
34,Person_34,31,Male,169,70,Hyderabad,High
35,Person_35,41,Female,183,73,Mumbai,Low
36,Person_36,32,Male,171,46,Pune,High
37,Person_37,32,Male,150,49,Hyderabad,High
38,Person_38,21,Male,154,47,Kolkata,Moderate
39,Person_39,22,Male,167,87,Chennai,Low
40,Person_40,52,Male,186,81,Chennai,Low
41,Person_41,48,Female,162,51,Mumbai,High
42,Person_42,45,Female,177,71,Chennai,High
43,Person_43,21,Male,153,70,Hyderabad,Moderate
44,Person_44,24,Male,162,57,Pune,Moderate
45,Person_45,26,Female,161,62,Chennai,Low
46,Person_46,22,Female,185,51,Mumbai,High
47,Person_47,52,Male,155,93,Kolkata,Low
48,Person_48,28,Female,181,75,Delhi,Moderate
49,Person_49,21,Male,174,45,Chennai,Moderate
50,Person_50,47,Female,177,89,Hyderabad,High
51,Person_51,60,Female,159,57,Bengaluru,Low
52,Person_52,21,Male,170,48,Mumbai,High
53,Person_53,48,Male,153,77,Mumbai,Low
54,Person_54,22,Male,165,70,Mumbai,High
55,Person_55,33,Male,189,50,Chennai,High
56,Person_56,55,Female,166,58,Hyderabad,High
57,Person_57,38,Male,166,70,Delhi,High
58,Person_58,59,Female,179,65,Kolkata,Low
59,Person_59,18,Female,189,81,Mumbai,Low
60,Person_60,52,Male,182,61,Delhi,Moderate
61,Person_61,22,Male,173,63,Delhi,Moderate
62,Person_62,52,Female,189,96,Hyderabad,High
63,Person_63,18,Female,156,53,Bengaluru,Low
64,Person_64,24,Male,167,63,Pune,Low
65,Person_65,39,Male,190,99,Bengaluru,High
66,Person_66,49,Female,153,50,Hyderabad,Moderate
67,Person_67,35,Male,150,66,Kolkata,Low
68,Person_68,58,Female,160,92,Chennai,High
69,Person_69,45,Male,157,49,Hyderabad,Low
70,Person_70,52,Male,173,82,Pune,Low
71,Person_71,45,Male,152,64,Bengaluru,Low
72,Person_72,40,Male,165,87,Mumbai,Moderate
73,Person_73,53,Female,189,92,Delhi,Low
74,Person_74,28,Male,176,46,Delhi,High
75,Person_75,39,Female,165,62,Delhi,High
