Date,Product,Region,Units_Sold,Unit_Price,Revenue
2025-01-01,Headphones,North,19,2500,47500
2025-01-02,Tablet,West,25,22000,550000
2025-01-03,Phone,East,27,30000,810000
2025-01-04,Tablet,East,28,22000,616000
2025-01-05,Smartwatch,West,44,8000,352000
2025-01-06,Tablet,South,6,22000,132000
2025-01-07,Headphones,South,42,2500,105000
2025-01-08,Phone,West,25,30000,750000
2025-01-09,Laptop,West,26,65000,1690000
2025-01-10,Smartwatch,West,29,8000,232000
2025-01-11,Laptop,East,46,65000,2990000
2025-01-12,Headphones,West,20,2500,50000
2025-01-13,Tablet,West,7,22000,154000
2025-01-14,Smartwatch,East,11,8000,88000
2025-01-15,Smartwatch,North,43,8000,344000
2025-01-16,Phone,West,29,30000,870000
2025-01-17,Headphones,South,13,2500,32500
2025-01-18,Phone,North,6,30000,180000
2025-01-19,Headphones,West,11,2500,27500
2025-01-20,Headphones,North,12,2500,30000
2025-01-21,Tablet,South,21,22000,462000
2025-01-22,Headphones,South,44,2500,110000
2025-01-23,Headphones,South,10,2500,25000
2025-01-24,Phone,West,33,30000,990000
2025-01-25,Phone,South,48,30000,1440000
2025-01-26,Phone,South,40,30000,1200000
2025-01-27,Headphones,North,44,2500,110000
2025-01-28,Smartwatch,West,49,8000,392000
2025-01-29,Phone,East,28,30000,840000
2025-01-30,Phone,North,49,30000,1470000
2025-01-31,Laptop,North,19,65000,1235000
2025-02-01,Smartwatch,North,29,8000,232000
2025-02-02,Laptop,West,5,65000,325000
2025-02-03,Headphones,West,28,2500,70000
2025-02-04,Tablet,East,21,22000,462000
2025-02-05,Tablet,East,37,22000,814000
2025-02-06,Tablet,North,46,22000,1012000
2025-02-07,Phone,North,32,30000,960000
2025-02-08,Laptop,West,16,65000,1040000
2025-02-09,Phone,North,27,30000,810000
2025-02-10,Smartwatch,East,48,8000,384000
2025-02-11,Tablet,East,5,22000,110000
2025-02-12,Tablet,North,18,22000,396000
2025-02-13,Tablet,North,9,22000,198000
2025-02-14,Phone,East,18,30000,540000
2025-02-15,Tablet,North,19,22000,418000
2025-02-16,Phone,South,17,30000,510000
2025-02-17,Tablet,East,36,22000,792000
2025-02-18,Laptop,West,36,65000,2340000
2025-02-19,Headphones,South,41,2500,102500
2025-02-20,Smartwatch,East,47,8000,376000
2025-02-21,Smartwatch,West,17,8000,136000
2025-02-22,Tablet,East,26,22000,572000
2025-02-23,Headphones,South,46,2500,115000
2025-02-24,Smartwatch,South,10,8000,80000
2025-02-25,Headphones,West,48,2500,120000
2025-02-26,Headphones,West,34,2500,85000
2025-02-27,Tablet,West,32,22000,704000
2025-02-28,Laptop,East,37,65000,2405000
2025-03-01,Laptop,North,31,65000,2015000
2025-03-02,Laptop,West,17,65000,1105000
2025-03-03,Laptop,East,43,65000,2795000
2025-03-04,Tablet,North,41,22000,902000
2025-03-05,Laptop,East,46,65000,2990000
2025-03-06,Headphones,West,19,2500,47500
2025-03-07,Tablet,South,36,22000,792000
2025-03-08,Laptop,West,16,65000,1040000
2025-03-09,Phone,East,41,30000,1230000
2025-03-10,Laptop,West,21,65000,1365000
2025-03-11,Tablet,North,6,22000,132000
2025-03-12,Phone,West,27,30000,810000
2025-03-13,Smartwatch,West,37,8000,296000
2025-03-14,Laptop,East,6,65000,390000
2025-03-15,Smartwatch,West,30,8000,240000
2025-03-16,Headphones,East,15,2500,37500
2025-03-17,Tablet,North,42,22000,924000
2025-03-18,Smartwatch,West,38,8000,304000
2025-03-19,Tablet,East,20,22000,440000
2025-03-20,Laptop,North,10,65000,650000
2025-03-21,Smartwatch,East,24,8000,192000
2025-03-22,Headphones,East,40,2500,100000
2025-03-23,Tablet,South,7,22000,154000
2025-03-24,Tablet,West,36,22000,792000
2025-03-25,Headphones,North,37,2500,92500
2025-03-26,Phone,West,5,30000,150000
2025-03-27,Tablet,West,29,22000,638000
2025-03-28,Phone,East,35,30000,1050000
2025-03-29,Phone,East,11,30000,330000
2025-03-30,Headphones,West,30,2500,75000
2025-03-31,Laptop,West,6,65000,390000
2025-04-01,Laptop,West,16,65000,1040000
2025-04-02,Smartwatch,North,36,8000,288000
2025-04-03,Tablet,East,13,22000,286000
2025-04-04,Laptop,East,23,65000,1495000
2025-04-05,Tablet,West,28,22000,616000
2025-04-06,Laptop,West,15,65000,975000
2025-04-07,Laptop,West,40,65000,2600000
2025-04-08,Headphones,South,39,2500,97500
2025-04-09,Laptop,East,29,65000,1885000
2025-04-10,Smartwatch,South,22,8000,176000
2025-04-11,Phone,South,39,30000,1170000
2025-04-12,Smartwatch,North,40,8000,320000
2025-04-13,Laptop,West,37,65000,2405000
2025-04-14,Smartwatch,West,24,8000,192000
2025-04-15,Tablet,North,37,22000,814000
2025-04-16,Headphones,East,26,2500,65000
2025-04-17,Smartwatch,East,12,8000,96000
2025-04-18,Tablet,East,38,22000,836000
2025-04-19,Smartwatch,South,37,8000,296000
2025-04-20,Headphones,East,37,2500,92500
2025-04-21,Smartwatch,West,23,8000,184000
2025-04-22,Headphones,East,21,2500,52500
2025-04-23,Headphones,West,34,2500,85000
2025-04-24,Smartwatch,South,10,8000,80000
2025-04-25,Tablet,West,45,22000,990000
2025-04-26,Smartwatch,West,33,8000,264000
2025-04-27,Laptop,South,35,65000,2275000
2025-04-28,Tablet,West,37,22000,814000
2025-04-29,Headphones,East,25,2500,62500
2025-04-30,Laptop,West,7,65000,455000
