order_id,month,product,category,units_sold,unit_price,discount_pct,customer_rating,region
1001,Jan,Laptop,Electronics,12,55000,5,4.5,North
1002,Jan,Rice Bag,Grocery,200,80,0,4.2,South
1003,Jan,T-Shirt,Clothing,85,499,10,3.8,East
1004,Jan,Headphones,Electronics,34,1500,8,4.6,West
1005,Jan,Cooking Oil,Grocery,310,180,0,4.0,North
1006,Feb,Laptop,Electronics,15,55000,5,4.7,South
1007,Feb,Rice Bag,Grocery,185,80,0,4.1,East
1008,Feb,T-Shirt,Clothing,92,499,10,3.9,West
1009,Feb,Headphones,Electronics,41,1500,8,4.5,North
1010,Feb,Cooking Oil,Grocery,280,180,2,4.1,South
1011,Mar,Laptop,Electronics,9,55000,5,4.4,East
1012,Mar,Rice Bag,Grocery,220,80,0,4.3,West
1013,Mar,T-Shirt,Clothing,110,499,15,4.0,North
1014,Mar,Headphones,Electronics,28,1500,8,4.3,South
1015,Mar,Cooking Oil,Grocery,330,180,0,4.2,East
1016,Apr,Laptop,Electronics,18,55000,5,4.8,West
1017,Apr,Rice Bag,Grocery,195,80,0,4.0,North
1018,Apr,T-Shirt,Clothing,130,499,20,4.2,South
1019,Apr,Headphones,Electronics,52,1500,10,4.7,East
1020,Apr,Cooking Oil,Grocery,290,180,0,4.0,West
1021,May,Laptop,Electronics,22,55000,5,4.9,North
1022,May,Rice Bag,Grocery,240,80,5,4.4,South
1023,May,T-Shirt,Clothing,145,499,20,4.3,East
1024,May,Headphones,Electronics,60,1500,10,4.8,West
1025,May,Cooking Oil,Grocery,350,180,0,4.3,North
1026,Jun,Laptop,Electronics,14,55000,5,4.6,South
1027,Jun,Rice Bag,Grocery,210,80,0,4.2,East
1028,Jun,T-Shirt,Clothing,98,499,10,3.7,West
1029,Jun,Headphones,Electronics,38,1500,8,4.4,North
1030,Jun,Cooking Oil,Grocery,305,180,0,4.1,South
